###  Abdullah Kılıçaslan   2018280085
Veri 0: Küme 2
Veri 1: Küme 2
Veri 2: Küme 2
Veri 3: Küme 2
Veri 4: Küme 2
Veri 5: Küme 2
Veri 6: Küme 2
Veri 7: Küme 2
Veri 8: Küme 2
Veri 9: Küme 2
Veri 10: Küme 2
Veri 11: Küme 2
Veri 12: Küme 2
Veri 13: Küme 2
Veri 14: Küme 2
Veri 15: Küme 2
Veri 16: Küme 2
Veri 17: Küme 0
Veri 18: Küme 2
Veri 19: Küme 2
Veri 20: Küme 2
Veri 21: Küme 2
Veri 22: Küme 2
Veri 23: Küme 2
Veri 24: Küme 2
Veri 25: Küme 2
Veri 26: Küme 2
Veri 27: Küme 2
Veri 28: Küme 2
Veri 29: Küme 2
Veri 30: Küme 2
Veri 31: Küme 2
Veri 32: Küme 2
Veri 33: Küme 2
Veri 34: Küme 2
Veri 35: Küme 2
Veri 36: Küme 2
Veri 37: Küme 2
Veri 38: Küme 0
Veri 39: Küme 0
Veri 40: Küme 2
Veri 41: Küme 2
Veri 42: Küme 2
Veri 43: Küme 0
Veri 44: Küme 2
Veri 45: Küme 2
Veri 46: Küme 2
Veri 47: Küme 0
Veri 48: Küme 0
Veri 49: Küme 2
Veri 50: Küme 0
Veri 51: Küme 2
Veri 52: Küme 2
Veri 53: Küme 2
Veri 54: Küme 2
Veri 55: Küme 2
Veri 56: Küme 2
Veri 57: Küme 2
Veri 58: Küme 2
Veri 59: Küme 2
Veri 60: Küme 2
Veri 61: Küme 2
Veri 62: Küme 0
Veri 63: Küme 0
Veri 64: Küme 0
Veri 65: Küme 0
Veri 66: Küme 0
Veri 67: Küme 0
Veri 68: Küme 0
Veri 69: Küme 0
Veri 70: Küme 2
Veri 71: Küme 2
Veri 72: Küme 2
Veri 73: Küme 2
Veri 74: Küme 2
Veri 75: Küme 2
Veri 76: Küme 2
Veri 77: Küme 2
Veri 78: Küme 2
Veri 79: Küme 2
Veri 80: Küme 2
Veri 81: Küme 2
Veri 82: Küme 2
Veri 83: Küme 2
Veri 84: Küme 2
Veri 85: Küme 2
Veri 86: Küme 2
Veri 87: Küme 2
Veri 88: Küme 2
Veri 89: Küme 2
Veri 90: Küme 2
Veri 91: Küme 2
Veri 92: Küme 2
Veri 93: Küme 2
Veri 94: Küme 2
Veri 95: Küme 2
Veri 96: Küme 2
Veri 97: Küme 2
Veri 98: Küme 2
Veri 99: Küme 2
Veri 100: Küme 2
Veri 101: Küme 2
Veri 102: Küme 2
Veri 103: Küme 0
Veri 104: Küme 0
Veri 105: Küme 0
Veri 106: Küme 0
Veri 107: Küme 0
Veri 108: Küme 0
Veri 109: Küme 0
Veri 110: Küme 0
Veri 111: Küme 0
Veri 112: Küme 0
Veri 113: Küme 2
Veri 114: Küme 2
Veri 115: Küme 2
Veri 116: Küme 2
Veri 117: Küme 2
Veri 118: Küme 2
Veri 119: Küme 2
Veri 120: Küme 2
Veri 121: Küme 2
Veri 122: Küme 2
Veri 123: Küme 2
Veri 124: Küme 2
Veri 125: Küme 2
Veri 126: Küme 2
Veri 127: Küme 0
Veri 128: Küme 0
Veri 129: Küme 0
Veri 130: Küme 0
Veri 131: Küme 0
Veri 132: Küme 2
Veri 133: Küme 2
Veri 134: Küme 2
Veri 135: Küme 2
Veri 136: Küme 2
Veri 137: Küme 2
Veri 138: Küme 2
Veri 139: Küme 2
Veri 140: Küme 2
Veri 141: Küme 2
Veri 142: Küme 2
Veri 143: Küme 2
Veri 144: Küme 2
Veri 145: Küme 2
Veri 146: Küme 2
Veri 147: Küme 2
Veri 148: Küme 2
Veri 149: Küme 2
Veri 150: Küme 2
Veri 151: Küme 0
Veri 152: Küme 2
Veri 153: Küme 2
Veri 154: Küme 2
Veri 155: Küme 2
Veri 156: Küme 2
Veri 157: Küme 0
Veri 158: Küme 2
Veri 159: Küme 2
Veri 160: Küme 2
Veri 161: Küme 2
Veri 162: Küme 0
Veri 163: Küme 1
Veri 164: Küme 2
Veri 165: Küme 0
Veri 166: Küme 0
Veri 167: Küme 0
Veri 168: Küme 2
Veri 169: Küme 0
Veri 170: Küme 0
Veri 171: Küme 1
Veri 172: Küme 1
Veri 173: Küme 0
Veri 174: Küme 0
Veri 175: Küme 0
Veri 176: Küme 2
Veri 177: Küme 2
Veri 178: Küme 2
Veri 179: Küme 2
Veri 180: Küme 2
Veri 181: Küme 1
Veri 182: Küme 1
Veri 183: Küme 0
Veri 184: Küme 1
Veri 185: Küme 1
Veri 186: Küme 1
Veri 187: Küme 2
Veri 188: Küme 0
Veri 189: Küme 1
Veri 190: Küme 1
Veri 191: Küme 1
Veri 192: Küme 1
Veri 193: Küme 1
Veri 194: Küme 1
Veri 195: Küme 1
Veri 196: Küme 1
Veri 197: Küme 1
Veri 198: Küme 1
Veri 199: Küme 1
Veri 200: Küme 1
Veri 201: Küme 2
Veri 202: Küme 1
Veri 203: Küme 1
Veri 204: Küme 1
Veri 205: Küme 1
Veri 206: Küme 1
Veri 207: Küme 1
Veri 208: Küme 1
Veri 209: Küme 1
Veri 210: Küme 1
Veri 211: Küme 1
Veri 212: Küme 1
Veri 213: Küme 1
